Year_beginning,Quarter,Class_num,Section,Instructor,Enrollment,
,,398,Indep. St.,Barth,1,
,,398,Indep. St.,Oloo,1,
,,490,1,Intermont,6,220
,Spring,105,1,Barth,30,
,,111,1,Wu,14,
,,111,2,Nathan Hunter,9,
,,112,1,Dana Hunter,19,
,,113,1,Dana Hunter,18,
,,214,1,Oloo,18,
,,240,1,Intermont,10,
,,260,1,Wu,30,
,,261,1,Nordmoe,9,
,,270,1,Erdi,13,
,,300,1,Cutter,24,
,,320,1,Oloo,20,
,,365,1,Nordmoe,18,
,,430,1,Intermont,6,238
2023,Fall,110,1,Nathan Hunter,19,
,,110,2,Nathan Hunter,15,
,,112,1,Wu,14,
,,112,2,Dana Hunter,29,
,,113,1,Nordmoe,21,
,,214,1,Oloo,15,
,,240,1,Dana Hunter,26,
,,250,1,Oloo,11,
,,260,1,Nordmoe,13,
,,260,1,Wu,22,
,,310,1,Barth,20,205
,Winter,110,1,Nathan Hunter,21,
,,111,1,Nathan Hunter,15,
,,111,2,Dana Hunter,12,
,,112,1,Oloo,29,
,,113,1,Dana Hunter,27,
,,250,1,Cutter,27,
,,260,1,Wu,20,
,,260,2,Nordmoe,20,
,,265,1,Nordmoe,16,
,,265,Indep. St.,Nordmoe,1,
,,280,1,Barth,26,
,,298,Indep. St.,Oloo,1,
,,316,1,Oloo,15,
,,362,1,Wu,16,246
